Gene	CellType	Rho	PValue	padj	Significance
FANCI	T cells CD8	-0.024269521318266866	0.7783222255535251	0.8937682563149588	
FANCI	T cells CD4 naive	0.15749163000971794	0.06606391797604991	0.25556305111787725	
FANCI	T cells CD4 memory resting	0.12208599551160416	0.1552560258056978	0.40754706773995675	
FANCI	T cells CD4 memory activated	0.15520554515662444	0.07014401027950182	0.25777923777716916	
FANCI	T cells follicular helper	-0.19005445310274677	0.02611728474288001	0.16858176237146075	*
FANCI	T cells regulatory (Tregs)	-0.1414972086618898	0.09908278804298265	0.31529609636746597	
FANCI	T cells gamma delta	NA	NA	NA	
FANCI	NK cells resting	0.14549430200094118	0.0898096455843028	0.3000458613839207	
FANCI	NK cells activated	-0.06991547458992521	0.4168859701756029	0.6519386980405705	
FANCI	Monocytes	0.129529610439007	0.13140703812818894	0.371477588554688	
FANCI	Macrophages M0	-0.0686360873253675	0.42548338405764397	0.6583795521734069	
FANCI	Macrophages M1	0.09922431591598618	0.24866469608532496	0.5259891460320586	
FANCI	Macrophages M2	-0.20517433920196243	0.01616601563817232	0.1501720363101469	*
FANCI	Dendritic cells resting	-0.09282811822019259	0.28063171044989893	0.5364879315080098	
FANCI	Dendritic cells activated	0.09609614886745607	0.26396949845728945	0.5315550174413911	
FANCI	Mast cells resting	-0.0670892604690854	0.43601342214178396	0.6607626088128066	
FANCI	Mast cells activated	0.08062659976693104	0.34896991088042395	0.6106973440407419	
FANCI	Eosinophils	0.07304136251747426	0.396311223574943	0.6519386980405705	
FANCI	Neutrophils	-0.02185313089119559	0.7999043024583916	0.8937682563149588	
KAT2B	B cells naive	0.26862710918313354	0.001503853676173328	0.07802512172096665	**
KAT2B	B cells memory	0.16938756228496799	0.047839901802585634	0.23441551883266962	*
KAT2B	Plasma cells	-0.02951990627483897	0.7320270076900417	0.8840170983767595	
KAT2B	T cells CD8	0.2584211119092052	0.002296109208574423	0.08438201341511005	**
KAT2B	T cells CD4 naive	-0.10859274124047637	0.2065394706685849	0.4977262653816718	
KAT2B	T cells CD4 memory resting	0.11149640402049862	0.19458891429189576	0.47674284001514466	
KAT2B	T cells CD4 memory activated	0.1564953284230029	0.06781764459672453	0.2556203527107309	
KAT2B	T cells follicular helper	0.1591021494145399	0.06330730691235416	0.25556305111787725	
KAT2B	T cells regulatory (Tregs)	0.18569408595188067	0.02981718246025836	0.16858176237146075	*
KAT2B	T cells gamma delta	NA	NA	NA	
KAT2B	NK cells resting	0.22556085695390274	0.00804499077836692	0.13140151604665967	**
KAT2B	NK cells activated	-0.24965792756787863	0.0032596027433510013	0.09583232065451944	**
KAT2B	Monocytes	0.2047094932870861	0.016413977452749893	0.1501720363101469	*
KAT2B	Macrophages M0	-0.23297953145087852	0.0061480807396090765	0.12014446996858058	**
KAT2B	Macrophages M1	0.26957258039677773	0.0014448331449382799	0.07802512172096665	**
KAT2B	Macrophages M2	-0.07192221578695057	0.4036068322010882	0.6519386980405705	
KAT2B	Dendritic cells resting	0.07433658771498432	0.3879668054164309	0.6519386980405705	
KAT2B	Dendritic cells activated	-0.026701954002323072	0.756766343133643	0.8840170983767595	
KAT2B	Mast cells resting	0.18641781514662986	0.029173879397406347	0.16858176237146075	*
KAT2B	Mast cells activated	-0.21647145896831801	0.01106250597711893	0.13551569821970688	*
KAT2B	Eosinophils	0.06737632396018677	0.43404808422865515	0.6607626088128066	
KAT2B	Neutrophils	0.09121416269447193	0.28911562104112704	0.5447661663129336	
DEPTOR	B cells naive	0.2313007048392407	0.006538474556113229	0.12014446996858058	**
DEPTOR	B cells memory	0.05845076733559106	0.49747976875945243	0.686106662081963	
DEPTOR	Plasma cells	0.05121488185807708	0.5522763739600278	0.7501923578634266	
DEPTOR	T cells CD8	0.02669177915196623	0.7568561355273119	0.8840170983767595	
DEPTOR	T cells CD4 naive	-0.15232382823748716	0.07557596580810788	0.2709674871656551	
DEPTOR	T cells CD4 memory resting	-0.0360204791222356	0.6760337465695148	0.8421776334382938	
DEPTOR	T cells CD4 memory activated	0.0032232390891348555	0.9701808528523828	0.9835626577193122	
DEPTOR	T cells follicular helper	0.04441369166747484	0.6063153346572887	0.7750291669097517	
DEPTOR	T cells regulatory (Tregs)	0.1604719853034683	0.06103728793442799	0.25556305111787725	
